OBJECTID,Unit,Unit Code,Region,Shape__Area,Shape__Length
1,Santa Clara Unit,SCU,Northern,111405313427.431,1857022.96532217
2,Amador-El Dorado Unit,AEU,Northern,116219681579.051,2362070.39698532
3,Butte Unit,BTU,Northern,49427176226.4175,1495407.7817436
4,Tuolumne-Calaveras Unit,TCU,Southern,124990539938.723,2180568.74958234
5,Sonoma-Lake Napa Unit,LNU,Northern,189908251844.412,2810838.74442391
6,Humboldt-Del Norte Unit,HUU,Northern,144083188712.706,2502701.60666798
7,Fresno-Kings Unit,FKU,Southern,206349279024.137,3129168.17289951
8,Tehama-Glenn Unit,TGU,Northern,116559046243.33,2235976.68004567
9,San Bernardino Unit,BDU,Southern,932973098813.761,6255427.24629566
10,Kern County,KRN,Southern,227570216513.156,2304936.26463715
11,Lassen-Modoc Unit,LMU,Northern,325452067568.446,2927808.07638003
12,Los Angeles Unit,LAC,Southern,113799715116.932,2469148.96985104
13,Madera-Mariposa-Merced Unit,MMU,Southern,174491192085.243,2704928.52001676
14,Mendocino Unit,MEU,Northern,102829756768.13,2300477.4369269
15,San Benito-Monterey Unit,BEU,Southern,131116230096.939,2162998.70746282
16,Nevada-Yuba-Placer Unit,NEU,Southern,130702763537.531,2076014.88216422
17,Orange County,ORC,Southern,22419582084.9841,799494.594613814
18,Riverside Unit,RRU,Southern,203569359526.545,2553632.24521376
19,San Diego Unit,SDU,Southern,243508087467.959,2571568.09532106
20,San Mateo-Santa Cruz Unit,CZU,Northern,30763509275.0381,1505228.81196951
21,San Luis Obispo Unit,SLU,Southern,92612047710.7898,2105857.78197982
22,Santa Barbara County,SBC,Southern,76518160791.4125,2487272.93567791
23,Shasta-Trinity Unit,SHU,Northern,172646416732.675,2639566.75383549
24,Siskiyou Unit,SKU,Northern,177431943612.486,2356701.05212248
25,Tulare Unit,TUU,Southern,135006541754.705,1730602.91208469
26,Ventura County,VNC,Southern,51734980813.6577,1289100.27724871
27,Marin County,MRN,Northern,16966462789.1021,834533.056074631
