OBJECTID,Year,State,Agency,Unit ID,Fire Name,Local Incident Number,IRWIN ID,Alarm Date,Containment Date,Cause,Collection Method,Management Objective,GIS Calculated Acres,Comments,Complex Name,Complex ID,Fire Number (historical use),GlobalID,Decade,Shape__Area,Shape__Length
1,2025,CA,USF,LPF,GIFFORD,00002181,{08A6358F-8301-4093-9988-E265C8F6F0A9},8/1/2025 12:00:00 AM,10/14/2025 12:00:00 AM,14,3,1,131613.5,,,,,e87207ff-bd3d-4836-8a89-ad218a20b17e,2020-2025,798129287.777344,315035.257689284
2,2025,CA,USF,LPF,MADRE,00001817,{1AB682F7-CC0F-4DCE-87A4-FA4A9B67AB05},7/2/2025 12:00:00 AM,7/26/2025 12:00:00 AM,14,7,1,80779.1,,,,,c59c71e2-f79f-440b-8c84-48058988f3cf,2020-2025,489691304.503906,234788.870248803
3,2025,CA,USF,SNF,GARNET,00001684,{68B988A1-C190-4F0C-9BEA-A658D389D167},8/24/2025 12:00:00 AM,10/23/2025 12:00:00 AM,1,3,1,60019.23,,,,,ddd0b278-7655-4f20-829d-feeef1dc935f,2020-2025,381019801.066406,293948.428195997
4,2025,CA,CDF,FKU,SALT,00018739,{7F4A1474-6439-44F3-8F0D-083DCFD33639},9/2/2025 12:00:00 AM,9/17/2025 12:00:00 AM,1,7,1,25553.55,Park incident clipped out per BEU ,,,,6817a72c-90cf-4cd4-8f26-2b9622f1f140,2020-2025,158299234.421875,111440.092840502
5,2025,CA,CDF,LDF,PALISADES,00000738,{A7EA5D21-F882-44B8-BF64-44AB11059DC1},1/7/2025 12:00:00 AM,1/31/2025 12:00:00 AM,14,7,1,23448.88,,,,,73730f90-5d60-4850-98c2-2431c4284cd7,2020-2025,138651835,140231.608232476
6,2025,CA,USF,SRF,BUTLER,00000469,{F1930125-5993-4672-A058-74AD25F35E3F},7/4/2025 12:00:00 AM,9/11/2025 12:00:00 AM,14,7,1,21057.61,,ORLEANS COMPLEX,{840F0909-57F6-4445-9DC4-5081B43E4AE7},,a46a3d23-edec-4b99-b508-f60ef738b1cb,2020-2025,151016558.640625,134217.7349024
7,2025,CA,USF,SHF,GREEN,00000560,{F3A7DBCB-C6C0-442A-A9CA-AA18CC9EF80A},7/2/2025 12:00:00 AM,8/14/2025 12:00:00 AM,1,3,1,19021.99,,,,,78d040b5-089a-45e1-91d9-9904e116ca0d,2020-2025,134608787.71875,85187.8555398957
8,2025,CA,CDF,LAC,EATON,00009087,{72660ADC-B5EF-4D96-A33F-B4EA3740A4E3},1/8/2025 12:00:00 AM,1/31/2025 12:00:00 AM,14,7,1,14056.26,,,,,d8dcb0e7-0ad6-46a4-901a-86d777bb09af,2020-2025,83363928.8945313,104933.207223671
9,2025,CA,USF,SRF,DILLON,00000715,{0140F0B6-2F32-4651-9008-E5AE2C38F547},8/25/2025 12:00:00 AM,11/6/2025 12:00:00 AM,1,7,1,11929.38,,,,,ff4f07c5-fb4c-45e2-8982-a51a936094be,2020-2025,86263960.6835938,102086.77265318
10,2025,CA,CDF,ANF,HUGHES,00250270,{994072D2-E154-434A-BB95-6F6C94C40829},1/22/2025 12:00:00 AM,1/28/2025 12:00:00 AM,14,7,1,10396.8,,,,,b034497d-9e0c-419c-b3e8-9d414845eb97,2020-2025,62160638.9140625,96698.599857731
